participant_id	input_dna_concentration	input_dna_volumne	mass_dna	batch	reads_raw_total	coverage_raw_reads	reads_collapsed_total	reads_collapsed_duplex	reads_collapsed_non_duplex	coverage_collapsed_reads	fragments_total	coverage_fragments
ccga_914	16.19	4.63	74.9597	H5T5FCCXY	2109247102	106572.1	105341290	31663172	73479024	3876.694	52682491	3875.331
ccga_917	12.5	6	75	H3WK5CCXY	2723849992	138475.7	113922930	37632260	76068230	4069.026	56972403	4067.185
ccga_918	13.45	5.58	75.051	HK7H3ALXX	1965187208	101277.8	105713784	36598241	68915160	3780.158	52868676	3778.431
ccga_921	13.02	5.76	74.9952	HLC3CALXX	2174077466	112312.9	109554090	32007687	77374137	3943.63	54790571	3942.029
ccga_922	13.98	5.36	74.9328	HKCGKALXX	2717092410	137299.1	132368146	45775914	86362371	4665.394	66197213	4663.233
ccga_924	12.21	6.14	74.96940000000001	HKM2TALXX	1611746904	83757.35	89421072	25987309	63278167	3278.582	44715864	3277.27
ccga_925	16.26	4.61	74.95860000000002	HK7VKALXX	1958746602	99184.73	123482304	42661977	80616317	4493.48	61754802	4491.618
ccga_927	12.92	5.8	74.93599999999999	H3Y7JCCXY	2685461886	140061.9	118840224	37929184	80677515	4307.669	59429687	4305.98
ccga_928	14.37	5.22	75.0114	H77GCCCXY	2633772452	136835.7	95292032	22639046	72490616	3554.604	47657433	3553.242
ccga_930	13.11	5.72	74.9892	H72VCCCXY	2128805170	108154.8	112071116	36564744	75284112	4031.72	56048122	4030.082
ccga_932	13.68	5.48	74.96640000000001	HL2MNALXX	1951796156	101093.8	99597458	34505431	64864369	3534.805	49809269	3533.322
ccga_936	14.42	5.2	74.98400000000001	H77N5CCXY	2866294752	147200.5	95671552	31089998	64415456	3417.082	47848825	3415.737
ccga_938	12.75	5.88	74.97	H2J3HCCXY	1579341328	83100.76	100364240	27974845	72201841	3714.424	50192665	3713.043
ccga_94	16.26	4.61	74.95860000000002	HK3YVALXX	2827408072	149870.5	75409310	17203912	58107812	2827.394	37712703	2826.285
ccga_940	13.4	5.6	75.03999999999999	HL2N2ALXX	2476680518	127407	91186440	27970980	63051598	3314.512	45602845	3313.105
ccga_944	13.32	5.63	74.9916	HCLMGCCXY	1755181084	86444.75	110893004	40413768	70211108	3945.601	55457986	3943.811
ccga_945	14.14	5.3	74.94200000000001	H77MFCCXY	2962451510	152451.9	107347052	32376139	74829135	3912.245	53687168	3910.905
